t=2023-02-13T08:37:04+0700 lvl=info msg="no configuration paths supplied"
t=2023-02-13T08:37:04+0700 lvl=info msg="using configuration at default config path" path=C:\\Users\\Damar\\AppData\\Local/ngrok/ngrok.yml
t=2023-02-13T08:37:04+0700 lvl=info msg="open config file" path=C:\\Users\\Damar\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2023-02-13T08:38:01+0700 lvl=info msg="join connections" obj=join id=d003c64f2d5e l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:38:03+0700 lvl=info msg="join connections" obj=join id=b39ab5b3f142 l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:38:04+0700 lvl=info msg="join connections" obj=join id=a9dd379d50f4 l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:38:04+0700 lvl=info msg="join connections" obj=join id=f56301959569 l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:38:05+0700 lvl=info msg="join connections" obj=join id=07b012664ea9 l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:38:05+0700 lvl=info msg="join connections" obj=join id=852df24f3c70 l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:38:05+0700 lvl=info msg="join connections" obj=join id=fc6634c41636 l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:38:11+0700 lvl=info msg="join connections" obj=join id=1db2390d41af l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:38:11+0700 lvl=info msg="join connections" obj=join id=3def5cca5982 l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:38:11+0700 lvl=info msg="join connections" obj=join id=6be9f27f7479 l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:38:11+0700 lvl=info msg="join connections" obj=join id=95daff75d5a4 l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:38:15+0700 lvl=info msg="join connections" obj=join id=ef07e26c86f0 l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:38:17+0700 lvl=info msg="join connections" obj=join id=0b71b34f9d78 l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:38:17+0700 lvl=info msg="join connections" obj=join id=2f5ec74a4086 l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:38:17+0700 lvl=info msg="join connections" obj=join id=b05ba016eca3 l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:38:26+0700 lvl=info msg="join connections" obj=join id=5fe985637f10 l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:38:33+0700 lvl=info msg="join connections" obj=join id=0fa130ef5908 l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:38:38+0700 lvl=info msg="join connections" obj=join id=ff77af2253d5 l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:38:38+0700 lvl=info msg="join connections" obj=join id=17ad437b31d2 l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:38:43+0700 lvl=info msg="join connections" obj=join id=f9c7c2bbda4e l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:38:43+0700 lvl=info msg="join connections" obj=join id=f429a25277da l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:38:45+0700 lvl=info msg="join connections" obj=join id=881d0b81d4ee l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:38:45+0700 lvl=info msg="join connections" obj=join id=94185855a304 l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:38:45+0700 lvl=info msg="join connections" obj=join id=285fe8595936 l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:38:45+0700 lvl=info msg="join connections" obj=join id=b84384edd845 l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:38:45+0700 lvl=info msg="join connections" obj=join id=8dd057f6444c l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:38:48+0700 lvl=info msg="join connections" obj=join id=67f801f6607c l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:38:48+0700 lvl=info msg="join connections" obj=join id=e1dc0e9ab4d8 l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:38:48+0700 lvl=info msg="join connections" obj=join id=0b5f60dabc3e l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:38:48+0700 lvl=info msg="join connections" obj=join id=0e252d43ae17 l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:38:48+0700 lvl=info msg="join connections" obj=join id=c0ebe8db4ad5 l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:38:48+0700 lvl=info msg="join connections" obj=join id=5e1301db3739 l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:38:49+0700 lvl=info msg="join connections" obj=join id=18e7c9eefea3 l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:38:49+0700 lvl=info msg="join connections" obj=join id=16779509dc18 l=[::1]:8088 r=36.68.53.12:12501
